1	
khuddakapāṭhadhammapadaudānaitivuttakasuttanipātavimānavatthupetavatthutheragāthātherīgāthājātakaniddesapaṭisambhidāapadānabuddhavaṃsacariyāpiṭakavasena    
khuddakavatthuvibhaṅgopi    
khādatha    
khīṇāsavehi    
khīṇāsavā    
kimatthaṃ    
kisāgotamiyā    
kiṃ    
kolito    
koṇe    
koṇḍaññabuddhassa    
koṭisatasahassasaṅkhyānaṃ    
koṭisatasahassānaṃ    
kulāni    
kusalattikādayo    
kuṭṭā    
kālo    
kāsirāje    
kāyikavācasikaajjhācāranisedhanato    
lakkhaṇe    
latā    
lomahaṃsajātake    
madhupiṇḍikasuttantasmiñhi    
mahaggatā    
mahantaṃ    
mahesakkhā    
mahesinā    
mahābodhipallaṅkasmiñhi    
mahādhammahadayaṃ    
mahādhammahadaye    
mahādhātukathāyaṃ    
mahāgosiṅgasuttaṃ    
mahāhanusabhakkhandho    
mahājanā    
mahānādaṃ    
mahāpakaraṇe    
mahāpurisassa    
mahāpuriso    
mahārajjaṃ    
mahāsamuddo    
mahāsatto    
mahāsutasomajātake    
mahāvihāravāsīnaṃ    
mahāvātā    
majjhimappamāṇāni    
mama    
manussattaṃ    
manussāyeva    
mayampetaṃ    
mañjiṭṭhapabhassarā    
maṃsalohitehi    
maṅgalassa    
maṇḍalārāmavāsī    
mettābalenupatthaddho    
mettāpāramitaṃ    
mettāya    
micchādiṭṭhiṃ    
mocayitvāna    
mocesiṃ    
moggaliputtatissattheropi    
mudusamatale    
muttā    
mā    
mānussakā    
mātaraṃ    
mātā    
mūgapakkhajātake    
mūlapariyāyasuttādidiyaḍḍhasatadvesuttasaṅgaho    
mūlato    
na    
nagaraṃ    
nagare    
nahevaṃ    
namo    
nandā    
nanu    
narā    
nava    
navadosamupāgata    
navutikoṭisahassehi    
navutikoṭisahassānaṃ    
navutivassasahassāni    
nekkhammaninnā    
nekkhammapāramitaṃ    
nekkhammābhimukho    
nerañjarāya    
nibbutā    
nidānakathā    
nijjhāmataṇhā    
nikkhepakaṇḍa    
nikkhipitvā    
nikāyantaraladdhīhi    
nikāyo    
nimittāni    
nipaccakārassetassa    
nirayepi    
no    
nāhaṃ    
nāmaṃ    
nānānayavicittassa    
nāradabuddhassa    
nāthānāthānaṃ    
oghataraṇasuttādisattasuttasahassasattasatadvāsaṭṭhisuttasaṅgaho    
olokentassevassa    
orohitvāna    
pabbajitvā    
pabbajjā    
pabhā    
paccantadesavisaye    
paccanīyapaṭṭhānepi    
paccayavasena    
paccayākāravibhaṅgo    
pacchābhattaṃ    
paccuggamanā    
padhānaṃ    
padumassa    
padumuttarassa    
padānukkamato    
pahāyimaṃ    
pakaraṇaparicchedato    
pallaṅkena    
pallaṅkābhujane    
paribhuñjantassa    
pariggahakaraṇābhāvo    
parirakkha    
pariyattibhedaṃ    
pariyattipi    
pariyesissāmi    
pariyosānadivase    
passatha    
pathavisandhārakaṃ    
pathaviyaṃ    
pavedhamānā    
pañcadosavivajjita    
paññāpāramitaṃ    
paññāya    
paṇḍito    
paṇṇasālā    
paṇṇasālāparibhogasmiñhi    
paṭhamasannipāte    
paṭhame    
paṭhamābhisamaye    
paṭibalo    
paṭijagganeneva    
paṭivedho    
paṭiyattavaramaggena    
paṭṭhāna    
phasso    
pitā    
pitāpi    
piyadassissāpi    
piṭakaṃ    
pubbakehi    
puna    
punapariyesanāya    
puthulato    
puṇṇamāye    
pāpuṇāti    
pāramiyo    
pāricchattakamūlamhi    
pāṭihīrāvasānamhi    
pītiyā    
rahogato    
rajo    
rogo    
rogā    
rukkhapathavīpabbatasamuddādayo    
rāhumutto    
rājābhirājā    
rājārahabhaṇḍatāya    
rūpakaṇḍa    
rūpārammaṇaṃ    
sabbacakkavāḷesu    
sabbameva    
sabbampi    
sabbattha    
sabbaññutaññāṇaṃ    
sabbaññutaṃ    
sabbaṃ    
sabbe    
sabbepi    
sabbo    
sabbā    
sabbītiyo    
saccapāramitaṃ    
saccavācaṃ    
saddhammañcassa    
sadevakaṃ    
saha    
sakalampi    
sakalaraṭṭhavāsino    
sakalaṃ    
sakkhissāmi    
sakko    
samaye    
samaṃ    
samiddhaṃ    
sammāsambuddhassa    
sammāsambuddhena    
sammāsambuddho    
sammāsambuddhova    
samokiranti    
samādayitvā    
samūhanivāsā    
sannipātā    
sannisinnena    
saraṇāgamane    
satasahassavassāni    
sataṃ    
satipaṭṭhānavibhaṅgo    
satta    
sattannaṃ    
sattapaññāsasuttāni    
sattappakaraṇānīti    
sattaratanasampannaṃ    
satthu    
satthā    
satthāpi    
savati    
sayaṃ    
sañcuṇṇamathitā    
saṃsaraṃ    
saṃsārasotaṃ    
saṅghanavakabhikkhunā    
saṅgītikāle    
saṅgītipariyosāne    
saṅgītā    
saṇhasukhumadhammaṃ    
sekkhā    
sesaṭṭhānesu    
sikhissāpi    
sikkhāpadavibhaṅgepi    
sikkhāpahānagambhīrabhāvañca    
silāsane    
so    
sobhati    
somanassañāṇamayikagāthāppaṭisaṃyuttā    
sopajja    
sopi    
sotavekallatā    
suddhāvāsesu    
suggahitattā    
sukhena    
sumaṅgalo    
sumedhakathā    
sumedhapaṇḍito    
sumedhassa    
sumedhassāpi    
sumedhā    
supupphitaṃ    
susāne    
suttantañca    
suttantañhi    
suttantaṃ    
suttante    
suttasabhāgañcetaṃ    
sutte    
suttāṇā    
suvuttā    
suṭṭhu    
svātanāya    
svāyaṃ    
sā    
sādhu    
sāgato    
sāmī    
sāpi    
sāriputta    
sāriputtattheropi    
sāvatthivāsīnaṃ    
sāyaṃ    
sāṭakaṃ    
sīho    
sīlapāramitaṃ    
sīlapāramiñca    
sītaṃ    
sūdati    
sūlehipi    
sūriyova    
tadanantaraṃ    
tadaññaṃ    
tadā    
tampajjubbhijjate    
tampi    
tasmiṃ    
tasmā    
tassa    
tassāpi    
tatheva    
tathevimaṃ    
tathā    
tatiye    
tato    
tatra    
tatridaṃ    
tatrime    
tatrāyaṃ    
tattha    
tatthappadhānaṃ    
tatuddhaṃ    
tayo    
tañhi    
taṃ    
te    
tehi    
telayante    
temāsaṃ    
tena    
tenetametassa    
tenāha    
tenāyaṃ    
tepajja    
tepajjubho    
tepi    
tepiṭakaṃ    
tesaṃ    
tesu    
thaddhavisamabhūmibhāgasmiñhi    
thalajā    
therassa    
therassāpi    
thero    
tikatikañceva    
tikañca    
tike    
