1	
aṭṭhamo    
aṭṭhamoti    
aṭṭhamukhā    
aṭṭhanahutādhikacatuyojanasatasahassabahalaṃ    
aṭṭhanavutibhikkhusatasahassāni    
aṭṭhapaṇṇāsahatthubbedhaṃ    
aṭṭhasaṭṭhibhikkhusatasahassāni    
aṭṭhasu    
aṭṭhatiṇamuṭṭhiṃ    
aṭṭhaṅgiko    
aṭṭhānaṃ    
aṭṭhārasa    
aṭṭhārasakappasataccayena    
aṭṭhārasakappasatamatthake    
aṭṭhārasasu    
aṭṭhārasavassādhikānaṃ    
aṭṭhārasavassādhikāni    
aṭṭhārasavidhena    
aṭṭhāsi    
aṭṭhāsītihatthubbedhaṃ    
aṭṭhāsītisahassāni    
baddhaṃ    
bahussuto    
bahusādhāraṇabhāvo    
bahusādhāraṇagehe    
bahuñca    
bahuṃ    
bahū    
bahūpakārataṃ    
bahūsu    
balabojjhaṅgakammavipākantaraṃ    
balavabhāvaṃ    
balavanti    
balavapaccūse    
balavapīti    
balavataraṃ    
balavā    
balaṃ    
bandhanaṃ    
bandhati    
bandhumatī    
bandhumā    
beluvapakkavaṇṇā    
bhaddaji    
bhaddanāmo    
bhaddasālo    
bhaddo    
bhaddā    
bhadrayobbanaṃ    
bhagavantaṃyeva    
bhagavato    
bhagavatā    
bhagavatātiādinayappavattā    
bhagavā    
bhaggā    
bhante    
bhanteti    
bhantā    
bhatiyā    
bhatiṃ    
bhattakiccaṃ    
bhattānumodanakālepi    
bhava    
bhavanaṃ    
bhavanti    
bhavantvantarāyā    
bhavati    
bhavato    
bhavaṃ    
bhavaṅgaparivāso    
bhave    
bhaveyyanti    
bhaveyyāti    
bhavissantīti    
bhavissare    
bhavissasi    
bhavissasīti    
bhavissati    
bhavissatīti    
bhavissāmi    
bhavābhave    
bhavāmahaṃ    
bhaṇati    
bhaṇḍamādiya    
bhaṇḍāgārikapariyattī    
bhaṇḍāgārikapariyattīti    
bhedakaravatthūsu    
bhedanaṃ    
bherisaṅkharathāni    
bheriyo    
bheriṃ    
bhesajjatthāya    
bhijjantīti    
bhikkhanto    
bhikkhave    
bhikkhavoti    
bhikkhaṃ    
bhikkhu    
bhikkhunā    
bhikkhusahassamajjhe    
bhikkhusatasahassaṃ    
bhikkhusatasahassāni    
bhikkhusatānaṃ    
bhikkhusaṅghassa    
bhikkhusaṅghaṃ    
bhikkhusaṅghepi    
bhikkhusaṅgho    
bhikkhuto    
bhikkhācāravelaṃ    
bhikkhāya    
bhikkhū    
bhikkhūhi    
bhikkhūnaṃ    
bhikkhūsu    
bhikkhūti    
bhindissāmi    
bhinditvā    
bhittiyaṃ    
bhiyyo    
bhiyyoso    
bho    
bhoge    
bhojanaṃ    
bhojayitvāna    
bhusavātehi    
bhāgī    
bhājanampi    
bhājanato    
bhājessatīti    
bhāradvājo    
bhāramoropanaṃ    
bhāsamānassa    
bhāsaṃ    
bhāsitaṃ    
bhāsitoti    
bhāsāya    
bhātha    
bhāvanāmayiddhi    
bhāvaya    
bhāveti    
bhāvitamaggo    
bhāvitatto    
bhāyāmi    
bhītā    
bhūmantaraparicchedo    
bhūmaṭṭhā    
bhūmi    
bhūmitalagatā    
bhūmito    
bhūmiyañceva    
bhūmiyaṃ    
bhūmiyā    
bhūmīsu    
bhūridattanāgarājakāle    
bidalamañcakapasse    
bidalamañcako    
bimbijālotipi    
bodheti    
bodhi    
bodhiabhinīhārasaddhāya    
bodhimaṇḍamhi    
bodhimaṇḍaṃ    
bodhimaṇḍe    
bodhimaṇḍā    
bodhimuttamaṃ    
bodhimūlamupehiti    
bodhimūle    
bodhiparibbājakakāle    
bodhipācanā    
bodhisattacariyakāle    
bodhisattakāle    
bodhisattassa    
bodhisattaṃ    
bodhisatto    
bodhisattānaṃ    
bodhiyā    
bodhiṃ    
bojjhaṅgavibhaṅgo    
bojjhaṅgā    
brahmabhūto    
brahmadevo    
brahmaghosaṃ    
brahmajālādīni    
brahmakoṭiyo    
brahmaloke    
brahmassaraṃ    
brahmuno    
brahmāpi    
brāhmaṇamāṇavo    
brāhmaṇasippameva    
brāhmaṇassa    
brāhmaṇavaṇṇena    
brāhmaṇaṃ    
brāhmaṇo    
brāhmaṇī    
bu    
buddhabhāsitameva    
buddhabhāsitaṃ    
buddhabhāsito    
buddhabhāsitoti    
buddhabhāsitānīti    
buddhabhāvatthāya    
buddhabhāvaṃ    
buddhabhūmiṃ    
buddhabhūtassa    
buddhabījaṃ    
buddhacakkhunā    
buddhadhammā    
buddhaghosena    
buddhaguṇaṃ    
buddhakare    
buddhakarā    
buddhameva    
buddhantaraṃ    
buddhapaccekabuddhādīhi    
buddhappamukhassa    
buddhappamukhaṃ    
buddharasmīhiyeva    
buddharatane    
buddhaseṭṭhānaṃ    
buddhassa    
buddhasāsanaṃ    
buddhato    
buddhavacananti    
buddhavacanassa    
buddhavacanaṃ    
buddhavaṃse    
buddhañāṇena    
buddhena    
buddhijo    
buddho    
buddhoti    
buddhā    
buddhālokeneva    
buddhānameva    
buddhānaṃ    
buddhārammaṇaṃ    
budhaṃ    
bujjhante    
bujjhare    
bujjhassu    
bujjhissati    
byapagataṃ    
byādhidhammo    
byādhito    
byādhiṃ    
byākaramāno    
byākaraṇaṃ    
byākareyya    
byākareyyaṃ    
byākaritvā    
byākaroti    
byākatanti    
byākāsi    
byākāsiṃ    
byāmappabhā    
byāthitamānasā    
bāhujaññaṃ    
bāhā    
bāhāya    
bārāṇasī    
bāvīsatindriyāni    
bāḷhā    
bījāni    
ca    
cajitvā    
cakkaratanaṃ    
cakkaratanāni    
cakkavattirañño    
cakkavattirājā    
cakkavattī    
cakkavāḷapabbatena    
cakkaṃ    
cakkhubhūto    
cakkhuma    
cakkhūhi    
camarī    
cammakaṃ    
campakarukkho    
campakaṃ    
campeyyanāgarājakāle    
campā    
candakumārakāle    
candamhi    
candamittā    
candanacuṇṇañca    
candanavanaṃ    
candappabhā    
candavatī    
candimasūriyādayo    
candimāyuttā    
cando    
candā    
caramāno    
carantassa    
caraṇo    
carituṃ    
caritvā    
cariyā    
cariyābhiññā    
cariyāpiṭakato    
carāpetvā    
cassa    
catasso    
catthāya    
cattālīsabhikkhusahassāni    
cattālīsahatthubbedhaṃ    
cattālīsavassasahassāni    
cattālīsaṃ    
cattāri    
cattārimāni    
cattāro    
cattārome    
cattārīti    
catubbidho    
catubbidhopi    
catumahādīparajjaṃ    
catunavutikappamatthake    
catunnaṃ    
catuparisamajjhe    
caturo    
caturoghaniddharaṇatthaṃ    
caturopete    
caturāsīti    
caturāsītidhammakkhandhasahassāni    
caturāsītisahassappabhedaṃ    
caturāsītiyojanasahassagambhīre    
caturāsītiyojanasahassagambhīro    
caturāsītiyojanasahassamatthake    
catutthavāre    
catutthaṃ    
catutthe    
catuttho    
catuttiṃsa    
catuvīsatippabhede    
catuvīsatisamantapaṭṭhānasamodhānaṃ    
catuvīsatisamantapaṭṭhānaṃ    
catuvīsatividhena    
catuvīsatiyā    
catūsu    
cavitvā    
cañjaliṃ    
caṅkamadosā    
caṅkamakoṭiṃ    
caṅkamanakoṭiyaṃ    
caṅkamanasattāhañca    
caṅkamanaṃ    
caṅkamantassa    
caṅkamanto    
caṅkamavemajjhe    
caṅkamañca    
caṅkamaṃ    
caṅkame    
caṅkami    
ce    
cepi    
cesa    
cetaso    
cetasā    
cetaṃ    
cetesu    
cetiyagirimhi    
cetiyaṃ    
cettha    
cetāni    
ceva    
cha    
chabbassāni    
chabbaṇṇarasmiyo    
chabbidhena    
chaddantanāgarājakāle    
chahi    
chamattabhāṇavāro    
chandatā    
channasahāyova    
channaṃ    
chappakaraṇāni    
chattaṃ    
chattesu    
chavaṭṭhikaṃ    
chavivaṇṇo    
chaḍḍayitvāna    
chaḍḍayiṃ    
chaḍḍetha    
chaḍḍetvā    
chaḷabhiññehi    
chaḷabhiññā    
chaṭṭhamaṃ    
chaṭṭho    
chindissāmīti    
chinditvā    
chuddhā    
cikkhallikanikāyoti    
cintayato    
cintayitvāna    
cintento    
cintesahaṃ    
cintesi    
cintetabbāni    
cinteti    
cintetvā    
cintitadhammaṃ    
cintā    
ciravuttho    
cirāyanti    
cito    
citoti    
cittakkhepaṃ    
cittapariyādānādīni    
cittassa    
cittavibhatti    
cittavārabhājanaṃ    
cittayamakaṃ    
cittaṃ    
cittekaggatā    
cittena    
cittāni    
cittīkārapītibahulo    
ciṇṇavasī    
coravilope    
corehi    
cuddasavidhena    
cuto    
cutā    
cutūpapātañāṇaṃ    
cāgaṃ    
cālā    
cāpi    
cāti    
cātumahārājadattiyaṃ    
cātumahārājike    
cāvetukāmoti    
cāyaṃ    
cīnapiṭṭhacuṇṇarañjitā    
cīvaraggahaṇaṃ    
cīvarapaccaye    
cīvaravaṃse    
cīvaraṃ    
cūḷasutasomajātakāle    
cūḷāya    
dadamānasseva    
dadamāno    
dadamānā    
dadantassa    
dadāmi    
dadātha    
daharakāleyeva    
dakajā    
dakkhiṇahatthaṃ    
dakkhiṇaṃ    
dakkhiṇena    
dantehi    
dantāvaraṇaṃ    
darīsayā    
dasa    
dasabalacatuvesārajjādisabbabuddhaguṇapaṭimaṇḍitaṃ    
dasabalassa    
dasabalena    
dasacakkavāḷasahassāni    
dasahi    
dasahupāgata    
dasahupāgataṃ    
dasahāgamma    
dasamaṃ    
dasamo    
dasamoti    
dasapāramī    
dasasahassacakkavāḷadevatānaṃ    
dasasahasse    
dasasahassilokadhātudevatāhi    
dasasahassilokadhātuṃ    
dasasahassimahābrahmaparivārena    
dasasahassiyaṃ    
dasasahassiṃ    
dasasahassādhivāsino    
dasasahassī    
dasasahassīnacūbhayaṃ    
dasavaggapariggaho    
dasavidhe    
dasavidhena    
dasindriyā    
dassaneyyaṃ    
dassanīyo    
dassentassa    
dassentena    
dassenti    
dassesi    
dassetuṃ    
dassitasamuddasadisaṃ    
dassitaṃ    
dassitā    
dassāmīti    
dasuttarasatasuttantā    
dasuttarasuttantehi    
dasāyatanā    
datvā    
datvāna    
daḷhaṃ    
daḷho    
daḷhīkammasithilakaraṇappayojanā    
daṇḍakadīpikāveṭhananiyāmena    
daṭṭhabbo    
daṭṭho    
dehīti    
dente    
denti    
desanā    
desanānidānañca    
desanānidānaṃ    
desaṃ    
desentassa    
desento    
desentova    
desentānaṃ    
desesi    
desetabbadesanā    
deseti    
desetuṃ    
desetvā    
desetūti    
deseyyanti    
desitabhāvo    
desitadesanaṃ    
desitadhammo    
desitadhammopi    
desitattā    
desitaṃ    
desito    
desitoti    
desitā    
desitāti    
dessaṃ    
dessā    
deti    
deva    
devabhavanamhi    
devadevo    
devadūte    
devalo    
devalokameva    
devalokasiriṃ    
devalokato    
devalokaṃ    
devaloke    
devamanussā    
devanagaraṃva    
devaputtena    
devarañño    
devaraññā    
devarājā    
devasikaṃ    
devatā    
devatāhi    
devatānaṃ    
deve    
devehi    
devesu    
devo    
devorohanaṃ    
devā    
devānamindo    
devānaṃ    
devāpi    
devāsane    
dha    
dhajesu    
dhajo    
dhammabhūto    
dhammacakkappavattanaṃ    
dhammacakkappavattanā    
dhammacakkaṃ    
dhammacintaṃ    
dhammacāriṃ    
dhammacārīti    
dhammadassī    
dhammadesanavelā    
dhammadesanaṃ    
dhammadesane    
dhammadesayi    
dhammadhātuyañca    
dhammadhātuyā    
dhammadinnā    
dhammagambhīratāpaccavekkhaṇena    
dhammahadayavibhaṅgoti    
dhammajātaṃ    
dhammakathaṃ    
dhammakathika    
dhammakathikoti    
dhammakathikā    
dhammakkhandhagaṇanā    
dhammakkhandhasahassāni    
dhammakkhandhasahassānīti    
dhammakkhandhato    
dhammakkhandho    
dhammakkhandhoti    
dhammantaraṃ    
dhammantarā    
dhammapadesoti    
dhammapadādayo    
dhammapaṭisambhidāti    
dhammapuñjamatte    
dhammasavanatthāya    
dhammasaṅgaṇiṃ    
dhammasaṅgaṇīpakaraṇaṃ    
dhammasaṅgaṇīpakaraṇe    
dhammasaṅgaṇīvibhaṅgadhātukathāpuggalapaññattikathāvatthuyamakapaṭṭhānānaṃ    
dhammaseno    
dhammasenāpati    
dhammassāmī    
dhammato    
dhammatthadesanāpaṭivedhagambhīrabhāvo    
dhammatthadesanāpaṭivedhā    
dhammayamakaṃ    
dhammaṃ    
dhamme    
dhammesu    
dhammikaanavajjabhāvo    
dhammikapabbataṃ    
dhammikapabbate    
dhammiko    
dhammiyo    
dhammo    
dhammā    
dhammābhilāpoti    
dhammābhisamayo    
dhammānanti    
dhammānaṃ    
dhammānurūpaṃ    
dhammāpe    
dhammāti    
dhammātirekadhammavisesaṭṭhena    
dhammātiādinā    
dhammāyatane    
dhammī    
dhanadhaññapariggahābhāvo    
dhanasāraṃ    
dhanavatī    
dhanañcayarājakāle    
dhanaṃ    
dhaññanibbattakaṃ    
dhaññavatī    
dhaññaṃ    
dhenu    
dhovitabbo    
dhoviyamānepi    
dhovāpetvā    
dhuragāme    
dhuvasassataṃ    
dhuvassavaṃ    
dhuvaṃ    
dhārayantesu    
dhāraṇe    
dhārenti    
dhārentī    
dhāretuṃ    
dhāreyyāthāti    
dhārito    
dhātukathaṃ    
dhātukathāpakaraṇaṃ    
dhātupadeso    
dhātupaññatti    
dhātuvibhaṅgo    
dhātuyamakaṃ    
dhātuyo    
dhātuāyatanāna    
dhātvantaraṃ    
dhīrapurisehi    
dibbacakkhunā    
dibbagandhapupphehi    
dibbagandho    
dibbamandāravapadumapāricchattakapupphāni    
dibbasampattiṃ    
dibbatūriyehi    
dibbehi    
dibbā    
dinnakāle    
dinnanayena    
dinnaṃ    
disaṃ    
dissanti    
dissati    
disvā    
disvāna    
disvāpi    
disā    
disābhāgā    
disāsu    
disāya    
divasabhāgaṃ    
divasehi    
divasesu    
divāvihāraṃ    
divāvihārāya    
diyaḍḍhakilesasahassaṃ    
diyaḍḍharatanaṃ    
diyaḍḍhasataṃ    
diṭṭhiviniveṭhanakathā    
diṭṭhiviniveṭhanā    
diṭṭhosi    
diṭṭhā    
domanassaṃ    
domanassindriyaṃ    
dose    
doso    
dosoti    
dosā    
dosānurūpaṃ    
duccaritasaṃkilesassa    
duggahitattā    
duggahitaṃ    
duggahitena    
duggahitā    
duggatiṃ    
dukadukapaṭṭhānaṃ    
dukadukañca    
dukamātikā    
dukapaṭṭhānaṃ    
dukasataṃ    
dukasate    
dukatikapaṭṭhānaṃ    
duke    
dukesuyeva    
dukhaṃ    
dukhaṭṭito    
dukhā    
dukkarakārikaṃ    
dukkathitaṃ    
dukkhasaccaṃ    
dukkhasacce    
dukkhassa    
dukkhato    
dukkhaṃ    
dukkhe    
dukkhito    
dukkhogāhaṃ    
dukkhogāhā    
dukkhā    
dukkhāya    
dukuttamaṃ    
dukā    
dukāti    
dullabhā    
dumā    
duppaññehi    
duppaṭipanno    
durabhisambhavabhāvo    
dussayugāni    
dussīlabhāvamicchādiṭṭhitācittakkhepappabhedaṃ    
dussīlabhāvaṃ    
dutiyakavāso    
dutiyaṃ    
dutiye    
dutiyo    
duvidhatthena    
duvidhenātiādinā    
dvattiṃsa    
dve    
dvenavutikappamatthake    
dvepi    
dvibhāṇavāramatto    
dvimattabhāṇavāraṃ    
dvimattabhāṇavāro    
dvinnaṃ    
dvācattālīsa    
dvādasa    
dvādasaguṇamupāgataṃ    
dvādasahi    
dvādasamoti    
dvādasapadiko    
dvādasayojane    
dvādasānisaṃsā    
dvādasāyatanāni    
dvārato    
dvāsaṭṭhi    
dvāsaṭṭhidiṭṭhipaṭipakkhabhūtā    
dvāsīti    
dvāvīsati    
dvāvīsatitike    
dvāvīsatiyā    
dvīsu    
dāmā    
dāmāni    
dānabalā    
dānajjhāsayataṃ    
dānanti    
dānapāraminti    
dānapāramitā    
dānapāramitādayo    
dānapāramitāya    
dānapāramiṃ    
dānapāramīti    
dānaṃ    
dāni    
dārake    
dāsako    
dātuṃ    
dātā    
dī    
dīghamaddhānaṃ    
dīghamajjhimanikāyappamāṇā    
dīghanikāyappamāṇaṃ    
dīghanikāyo    
dīghanikāyope    
dīghanikāyoti    
dīgharattaṃ    
dīghasuttaṃ    
dīghato    
dīghaādike    
dīpappasādakamahāmahindattherassa    
dīparukkhova    
dīpavāsīnaṃ    
dīpayanto    
dīpaṃ    
dīpaṅkaradasabalato    
dīpaṅkaramupāgamuṃ    
dīpaṅkarapādamūlato    
dīpaṅkarapādamūle    
dīpaṅkarasanāmako    
dīpaṅkarassa    
dīpaṅkaro    
dīpaṅkarādīnaṃ    
dīpeti    
dūrenidānaṃ    
ehi    
ekadeseneva    
ekadivasaṃyeva    
ekadivasepi    
ekaggataṃ    
ekakahāpaṇampi    
ekakato    
ekamantaṃ    
ekamekasmiṃ    
ekamekañca    
ekamekaṃ    
ekameko    
ekameva    
ekanavutikappe    
ekandhakārāni    
ekanikāyampi    
ekanipātadukanipātasaṅgīti    
ekantadhammakathiko    
ekantarikā    
ekantato    
ekapallaṅkena    
ekappahāreneva    
ekasatasahassaṃ    
ekasataṃ    
ekasmiṃ    
ekasmiṃyeva    
ekassa    
ekatiṃsakappe    
ekatiṃse    
ekato    
ekavidhena    
ekavīsatiyā    
ekaṃ    
ekaṃsaṃ    
ekekā    
ekena    
ekissā    
eko    
ekokāsaṃ    
ekoti    
ekova    
ekādasa    
ekādasamo    
ekānusandhikaṃ    
ekūnanavuti    
esa    
esantassa    
eseva    
esevanto    
eso    
esā    
etadahosi    
etamatthaṃ    
etassa    
etasseva    
etaṃ    
ete    
eteheva    
etena    
eteneva    
etesu    
etha    
ettakampi    
ettakaṃ    
ettake    
ettakenapi    
ettako    
ettakā    
ettakānañhi    
ettakānaṃ    
ettakāni    
ettakāyeva    
ettha    
etthāyaṃ    
etto    
etāni    
eva    
evamassāpi    
evametampi    
evamete    
evametena    
evameva    
evamevaṃ    
evamādīhi    
evamāha    
evarūpaṃ    
evarūpe    
evarūpena    
evarūpo    
evaṃ    
gabbhe    
gaccha    
gacchantaṃ    
gacchanti    
gacchanto    
gacchantā    
gacchati    
gacchatu    
gacchatīti    
gaccheyya    
gaccheyyaṃ    
gacchissaṃ    
gacchāmi    
gaganamaṇḍale    
gaganatalaṃ    
gaganatale    
gaganā    
gahakūṭaṃ    
gahanacchannatā    
gahetabbo    
gahetuṃ    
gahetvā    
gahetvāna    
gahitapaṭiñño    
gahitaṃ    
gamanakāraṇaṃ    
gamanampathe    
gamanasamaye    
gambhīrabhāvavijānanatthaṃ    
gambhīrabhāvo    
gambhīragataṃ    
gambhīrañāṇehi    
gambhīraṃ    
gambhīrā    
gamissāmi    
gandhabbā    
gandhadāmamālādāmāni    
gandho    
ganthentena    
ganthetvā    
gantvā    
garahapaṭicchādanabhāvo    
garahaṃ    
garahitā    
garahāya    
gatagataṭṭhāne    
gate    
gato    
gatā    
gavapānaṃ    
gavesantassa    
gavesanto    
gavesati    
gaṇanacāraṃ    
gaṇanacāropi    
gaṇanā    
gaṇanāto    
gaṇena    
gaṇhantesu    
gaṇhanti    
gaṇhanto    
gaṇhatha    
gaṇhathāti    
gaṇheyya    
gaṇheyyātha    
gaṇhi    
gaṇhitthāti    
gaṇhituṃ    
gaṇhiṃ    
gaṇhiṃsu    
gaṇhāti    
gehasampadā    
gehassa    
gehaṃ    
gehālayapaṭikkhepo    
geyya    
geyyaṃ    
ghanakkhandho    
ghanamahāpathaviṃ    
ghanapākapakke    
gharāvāsaṃ    
gharāvāse    
gharāvāsena    
ghaṭakā    
ghaṭento    
ghaṭikārassa    
ghositaṃ    
gihibandhanaṃ    
girikandarānusārena    
gocarāya    
gopetabbo    
gosiṅgasālavanaṃ    
gotamo    
guṇasampatti    
guṇaṃ    
guṇe    
guṇehi    
guṇo    
guṇā    
gāhāpetvā    
gāmadārakesu    
gāmaṃ    
gāthaṃ    
gāthā    
gāthāsahassāni    
gāthāyo    
gīvato    
gīvaṃ    
gūthagato    
hadayamaṃsaṃ    
handa    
hasanti    
hatthagataṃ    
hatthaṃ    
hatthe    
hatthena    
hatthippamāṇaṃ    
hatthipālakumārakāle    
hatthiratanaṃ    
hatthāḷavako    
hatā    
have    
haṃsavatī    
haṭṭhapahaṭṭho    
hehiti    
hesa    
hessanti    
hessantupaṭṭhakā    
hessantupaṭṭhikā    
hessati    
hessaṃ    
hessāma    
hetaṃ    
hete    
hettha    
hetu    
hetumhi    
hetupaccayo    
hetuphalaṃ    
hetuphale    
hetuye    
hetū    
heṭṭhā    
heṭṭhālohapāsāde    
hi    
hidaṃ    
himavantamupāgamiṃ    
himavantapāde    
himavantaṃ    
hitāhite    
hitāya    
hohi    
homi    
honti    
hontāvaraṇā    
hotha    
hoti    
hotiyeva    
hotu    
hotīti    
hotītiādinā    
hutvā    
hāso    
hāvuso    
hīnamukkaṭṭhamajjhime    
hīraṃ    
icchitabbakaṃ    
icchitabbako    
idamassa    
idaṃ    
iddhaṃ    
iddhi    
iddhidhammesu    
iddhimayapattacīvaradharā    
iddhimayapattacīvarassa    
iddhipādabojjhaṅgamaggaṅgavibhaṅgā    
iddhipādavibhaṅgo    
iddhipādā    
idhekacce    
idhāgatāti    
idhāvuso    
idriyavibhaṅgo    
idāni    
imameva    
imasmiṃ    
imasmā    
imassa    
imaṃ    
ime    
imesaṃ    
imesu    
iminā    
imināva    
imissā    
imāni    
imāya    
indriyantaraṃ    
indriyapaccayo    
indriyapadeso    
indriyapaññatti    
indriyavibhaṅge    
indriyayamakanti    
indriyāni    
isayo    
isipabbajjaṃ    
isipatane    
isīhi    
itaresu    
iti    
itihāse    
itivu    
itivuttaka    
itivuttakaṃ    
itivādappamokkhānisaṃsā    
ito    
itopi    
iṅgha    
iṭṭiyo    
jaccandhā    
jahanti    
jajjaraṃ    
jalamajjhe    
jalasāgaro    
jambudīpatale    
janakāyaṃ    
janasandho    
janataṃ    
janaṃ    
jane    
janesi    
janeti    
janettiyā    
janikā    
jarādhammo    
jayaddisarājaputtakāle    
jayaseno    
jayasumanapāribhaddakabandhujīvakakusumasamparikiṇṇā    
jaṭilaṃ    
jaṭilo    
jaṭāmaṇḍalavākacīratidaṇḍakuṇḍikādike    
jaṭāmaṇḍalaṃ    
jhānapaccayo    
jhānapadeso    
jhānaratisamappito    
jhānavibhaṅgo    
jhānaṅgesu    
jhāne    
jhānāni    
jhāpaye    
jhāyato    
jighacchā    
jigucchiya    
jinabodhiyaṃ    
jinacakke    
jinaputtā    
jinasevitaṃ    
jinavacanabhūtā    
jinaṃ    
jine    
jino    
jinā    
jitamitto    
jivhā    
jiṇṇabyādhimatasaṅkhāte    
jiṇṇanāvaṃva    
jiṇṇassa    
jiṇṇepi    
jotanti    
jotipālo    
jā    
jālāpetvā    
jānanti    
jānantīti    
jānaṃ    
jānissāmīti    
jānitunti    
jānituṃ    
jānāma    
jānāmīti    
jānāsīti    
jānāti    
jānātīti    
jātaka    
jātakasatesu    
jātakasatāni    
jātakasuttanipātadhammapadādīnaṃ    
jātakaṃ    
jātanagaraṃ    
jātasāsanaṃ    
jātaṃ    
jāti    
jātibhogayasaissariyādisampattīhi    
jātivādena    
jātā    
jāyante    
jīraṇabhāvo    
jīvissasīti    
jīvitapariccāgaṃ    
jīvitaṃ    
kabaḷīkārāhārappaṭibaddhaṃ    
kacchehi    
kaccānenāti    
kakudharukkhotipi    
kakusandho    
kalale    
kalyāṇamapi    
kalyāṇamatha    
kalyāṇe    
kammakiriyadassanā    
kammantaraṃ    
kammapaccayo    
kammassa    
kammaṃ    
kammaṭṭhānaṃ    
kammākammaṃ    
kampati    
kampento    
kampi    
kampitā    
kandanto    
kapilavhayā    
kapotapādavaṇṇaṃ    
kappakavesaṃ    
kappakoṭisatehipi    
kappasahassānaṃ    
kappasatasahassādhikānaṃ    
kappasatasahassādhikāni    
kappasatasahassānaṃ    
kappasatānaṃ    
kappe    
kappemi    
kappiyabhaṇḍaṃ    
kappiyanti    
kappiyaparikkhārā    
kappāsapacchiyaṃ    
karaṇabhāvo    
karaṇapariyesanabhāvo    
kareyyaṃ    
karissasīti    
karissāmatthavaṇṇanaṃ    
karissāmi    
karissāmīti    
karontassa    
karonto    
karosīti    
karoti    
karīsaṃ    
kasiṇamaṇḍalaṃ    
kasiṇaparikammaṃ    
kasmā    
kassa    
kassaci    
kassapadasabalassa    
kassapo    
katamo    
katanti    
kataparivāro    
katapāṭihāriyañca    
katasanniṭṭhāno    
katassa    
katayamakapāṭihāriyasadisameva    
kataṃ    
katena    
kathanaṃ    
kathayanto    
kathaṃ    
kathenti    
kathento    
kathentā    
kathentāpi    
kathesi    
kathessatīti    
kathesīti    
kathetabbā    
kathetu    
kathito    
kathitoti    
kathitāti    
kathā    
kathāpavattinī    
kathāti    
kathāvatthu    
kathāvatthunā    
kathāvatthunāva    
kathāvatthuppakaraṇaṃ    
kathāvatthuṃ    
katipayāni    
katipayāva    
kato    
kattabbakiccanti    
kattabbakiccaṃ    
kattaradaṇḍaṃ    
katvā    
katvāna    
katābhinīhārena    
katābhinīhārānaṃ    
kavāṭā    
kañcanapabbatamhi    
kañci    
kaṅkhā    
kaṇhapakkhasukkapakkhe    
kaṇikārarukkho    
kaṇḍakaṃ    
kaṇḍambarukkhamūle    
